pathway	pval	padj	log2err	ES	NES	size	leadingEdge	pathway_id	pathway_name
R-HSA-69278 :: Cell Cycle, Mitotic	8.25218894856942e-47	1.05380452873232e-43	1.78578387179408	0.564874072897768	2.85891482165328	472	LYN;GINS3;MYBL2;TUBB6;CCNB1;RRM2;CCNE1;HDAC1;PTTG1;PSMA3;CDC6;AURKA;PSMC4;CCNB2;CENPN;CCNA2;CDC45;TUBA1C;KIF2C;TFDP1;PSMD11;MCM5;FKBPL;FBXW11;FOXM1;PSMD6;CDC25B;ZWINT;PSMD2;MCM10;ORC1;CDC25A;PSMA5;NCAPH;ANAPC7;CDK1;TK1;CUL1;TICRR;PSMA4;CDC20;NDC80;AURKB;PSMA7;BIRC5;PSMD1;POLE2;RAB1A;ZWILCH;CDCA5;KIF23;KIF20A;PLK1;LMNB1;RCC1;TUBG1;PSMB3;E2F3;UBE2C;MAPK3;PSMB6;SKA1;GORASP2;POLE4;GINS4;PKMYT1;NUP210;RAN;PCNA;PSMB1;DNA2;ERCC6L;PSMD13;SEC13;CNEP1R1;PSMD3;MAD2L1;PSMC3;TOP2A;UBE2S;PSMB5;CDCA8;HJURP;NCAPG2;DHFR;MCM7;NDEL1;ADRM1;VRK2;SPC24;TPX2;CENPE;MCM2;BUB1;PSMC1;RANGAP1;HAUS1;NCAPG;PSMB2;NEK2;E2F4;DBF4;MASTL;PSMD7;TUBG2;MCM6;NUF2;CENPO;PSMC6;PSMD14;GTSE1;KIF18A;SPC25;TUBB2A;RAE1;ESCO2;SSNA1;CENPL;RFC4;CDC25C;GINS2;BUB1B;KIF2A;RFC5;POLE3;PPP2CA;PSMC5;VRK1;CCNE2;MCM4;ANAPC5;GINS1;NUP50;DYNLL1;UBE2E1;ORC6;MCM3;SMC2;PSMB4;PSMD8;POLD2;SKA2;NUP88;CDKN2B;CCND3;PSMD12;KPNB1;TMPO;POLA2;LCMT1;PLK4;NUP107;AKT2;CENPI;RFC2;FEN1;PSMB7;RB1;CENPF;CENPK;ACTR1A;EMD;BORA;ENSA;PSMA1;CDT1;CDKN1A;HMMR;YWHAG;INCENP;POLD3;YWHAE;RBX1;PSMC2;ANAPC11;NUP85;UBE2D1;CDKN2A;TUBGCP2;CSNK1E;RFC3;RCC2;LPIN2;PSMA6;IST1;HAUS5;BUB3;DCTN2;TAOK1;CEP78;CKS1B;CETN2;MAPRE1;E2F2;PRIM1;TYMS;BLZF1;CSNK2B;FBXO5;LBR;SKP2;CDK7;SMC4;PPP2R5B;CCND2;CHMP6;CENPH;CENPA;NUP37;AAAS;NDC1;RAB8A;DSN1;NUP205;GORASP1;HAUS8;E2F1;NCAPH2;PPP2R1B;TUBA4A;LIN54;TUBA1B;CKAP5;CEP152;FZR1;CDC26;MYC;ODF2;SEH1L;TUBGCP5;PPP1CC;TNPO1;PPP2R1A;UBA52;ARPP19;CHMP2B;CHMP2A;HAUS2;RBL1	R-HSA-69278	Cell Cycle, Mitotic
R-HSA-72766 :: Translation	6.47115900495386e-39	4.13183502466304e-36	1.62169955075295	0.58748190985782	2.89974965928493	347	VCP;PSMA3;PSMC4;EIF4EBP1;NPLOC4;PSMD11;PSMD6;PSMD2;PSMA5;EIF4E;APEH;MRPS15;MRPS7;EIF5;MRPS11;MRPL37;PSMA4;ZNF598;PSMA7;MRPL47;PSMD1;MTIF2;EIF3B;SEC61G;SEC61A1;MRPS12;PSMB3;DDOST;RPL26L1;PSMB6;SEC11C;PSMB1;EIF2S2;RPN2;TUFM;PSMD13;PSMD3;PSMC3;MRPL4;GADD45GIP1;AURKAIP1;TSFM;MRPL51;PSMB5;SEC61B;MRPL52;MRPL20;EIF2B1;MRPS22;EIF2B5;ADRM1;PSMC1;MTFMT;MRPL32;MRPL27;PSMB2;EIF3K;PSMD7;PSMC6;PSMD14;NDUFAB1;MRPL13;MRPL16;SRPRB;EIF4H;UBE2D2;MRPS16;MRPL11;MRPL21;AIMP2;MRPL28;PSMC5;MRPS2;MRPL3;EIF2B2;EIF3I;MRPL10;RPN1;PSMB4;PSMD8;OXA1L;UBE2D3;MRPS5;ASCC3;MIEF1;SRP54;MRPL55;MRPL35;MRPL17;MRRF;CHCHD1;PSMD12;MRPL36;MRPS21;MRPS10;RPL39L;RPL17;PSMB7;MRPL15;PPA1;SSR4;PSMA1;MRPS34;TRMT112;RPL22L1;MRPS6;RBX1;PSMC2;UBE2D1;EIF2S1;RPL36AL;ETF1;SRP72;EIF3J;ASCC2;FARSB;PSMA6;MRPL39;MALSU1;ABCE1;MRPL22;MRPL12;MRPL2;MRPS18A;EIF3D;SPCS3;SPCS1;HARS2;AARS2;MRPL14;MRPL54;MRPS23;MRPS35;ERAL1;EIF4G1;MRPS9;MRPL41;MRPL57;LARS2;MRPL18;UBA52;MRPL46;DARS2;FARSA;EEF1E1;EIF2B3;MRPL49;DAP3;MRPL9;MRPS18B;EIF3M;SSR3;YARS2;SPCS2;MRPL23;EIF3C;EIF4A1;MRPL1;MRPL43;MRPL34;MRPS31;RARS2;EIF2B4;EIF3A;FARS2;MRPS26;RPL28;PPA2;SRP68;SRP19;SSR2;EARS2;MRPL48;EEF1B2;MRPL44;MRPL40;TARS2;UBB;HBS1L;MRPL24;MRPS25;AIMP1;GFM1;MRPS33;MARS2;PELO;SARS2;EEF1D;SRP9;FAU;MRPL45;EIF3G;RPS10;CUL2;MRPS28;SRP14;EIF5B;MRPL50;SSR1;RPS28;EEF1A2;PSMA2	R-HSA-72766	Translation
R-HSA-69620 :: Cell Cycle Checkpoints	1.29723387594158e-37	5.52189219859132e-35	1.5959566534683	0.637655972155712	3.05276410355854	245	CCNB1;CSNK1A1;CCNE1;PSMA3;CDC6;PSMC4;CCNB2;BLM;CENPN;CCNA2;CDC45;KIF2C;YWHAQ;PSMD11;MCM5;FBXW11;PSMD6;ZWINT;PSMD2;MCM10;ORC1;CDC25A;PSMA5;ANAPC7;CDK1;CUL1;PSMA4;CDC20;NDC80;AURKB;PSMA7;BIRC5;PSMD1;SFN;ZWILCH;PLK1;EXO1;PSMB3;UBE2C;PSMB6;SKA1;PKMYT1;PSMB1;DNA2;ERCC6L;RNF168;PSMD13;SEC13;PSMD3;MAD2L1;PSMC3;UBE2S;PSMB5;CDCA8;MCM7;NDEL1;ADRM1;SPC24;CENPE;MCM2;BUB1;CLSPN;PSMC1;RANGAP1;PSMB2;DBF4;PSMD7;MCM6;NUF2;CENPO;PSMC6;PSMD14;GTSE1;KIF18A;CHEK1;SPC25;CENPL;RFC4;CDC25C;BUB1B;KIF2A;RFC5;MAPK14;PPP2CA;UBE2N;PSMC5;CCNE2;MCM4;ANAPC5;BRIP1;DYNLL1;UBE2E1;ORC6;MCM3;PSMB4;PSMD8;SKA2;PSMD12;NUP107;PLK3;CENPI;RFC2;PSMB7;CENPF;CENPK;YWHAH;CHEK2;PSMA1;YWHAZ;BRCA1;CDKN1A;YWHAG;INCENP;YWHAE;YWHAB;RBX1;PSMC2;ANAPC11;NUP85;UBE2D1;CDKN2A;CSNK1E;RFC3;RCC2;PSMA6;BUB3;TAOK1;MAPRE1;PPP2R5B;CENPH;CENPA;NUP37;HUS1;DSN1;PPP2R1B;CKAP5;CDC26;SEH1L;PPP1CC;PPP2R1A;UBA52;MAPK11;MIS12;CENPQ;CDC7;UIMC1;KNTC1;PMF1;CDC23;ATRIP;SPDL1	R-HSA-69620	Cell Cycle Checkpoints
R-HSA-6798695 :: Neutrophil degranulation	3.4522978198385e-31	1.10214607898344e-28	1.45334466856494	0.520165145616318	2.60612197124426	426	FABP5;SERPINB3;RAB31;COTL1;PYGL;LCN2;GM2A;HMOX2;CTSC;CXCR2;TCN1;VNN1;PRSS3;S100A12;HPSE;SERPINB1;PNP;CD36;PGAM1;CKAP4;VCP;ALDOA;CSTB;PGM2;PKM;CD47;CTSB;SERPINA1;GRN;DNAJC5;CNN2;QSOX1;CXCL1;MMP9;S100P;DBNL;PSMD11;PSMD6;PSMD2;PSMA5;S100A9;S100A8;APEH;LRG1;PTGES2;S100A7;UNC13D;LYZ;PSMD1;RAB27A;S100A11;ARG1;HRNR;CD177;GSTP1;GPI;LPCAT1;CTSA;DDOST;CTSD;GYG1;GGH;RAB24;PTAFR;COMMD9;PDAP1;PSMB1;PSMD13;ILF2;PSMD3;PSMC3;CAPN1;LTF;DYNLT1;AMPD3;NFKB1;PA2G4;PYCARD;PLAUR;SURF4;PSMD7;GLA;CCT2;MVP;PSMD14;RAP2B;CAP1;RAC1;SERPINA3;IMPDH1;ITGAX;GSDMD;PPIA;TLR2;RAB10;ITGAL;HSPA8;ADAM8;PLAU;MAPK14;CAMP;SERPINB6;RHOG;SLC15A4;DYNLL1;TOM1;SLPI;TNFRSF1B;CD53;FRK;FPR1;PSMD12;KPNB1;KCMF1;ATP6V1D;XRCC6;FCGR2A;CCT8;OLR1;DGAT1;ACTR2;PSMB7;STOM;PTPRC;CALML5;CAB39;HLA-B;HSPA6;PSMC2;TOLLIP;BIN2;PRDX4;RAB7A;CYFIP1;SLC2A3;TXNDC5;CST3;LILRB2;IST1;B2M;DOK3;MMP25;CMTM6;NAPRT;CYBA;LAMTOR2;RHOA;CSNK2B;CPPED1;ATP11B;ITGB2;RAP2C;CD93;NIT2;AP1M1;CYBB;TRAPPC1;DERA;APRT;STK11IP;XRCC5;TCIRG1;VAPA;SELL;ATAD3B;DSN1;CLEC5A;DDX3X;BST2;C6orf120;LAMP1;GMFG;GUSB;SNAP23;SIRPA;COPB1;FGR;PLEKHO2;QPCT;FCER1G;RAB6A;LAMTOR1;ERP44;DNAJC3;LAIR1;CRISP3;RAB18;SIGLEC9;ATG7;DOCK2;AGA;MAN2B1;PDXK;DNASE1L1;SLC2A5;PLAC8;VAMP8;HLA-C;NCKAP1L;SNAP29;FPR2;GDI2;ATP6V0A1;ARHGAP9;ARPC5;LAMP2;JUP;GPR84;PRCP;SLC44A2;HEXB;ACAA1;HSP90AB1;CD14;CXCR1;IMPDH2;ATP6AP2;CD58;GLB1;FCN1	R-HSA-6798695	Neutrophil degranulation
R-HSA-68886 :: M Phase	5.98174138338526e-31	1.5277367493166e-28	1.44620288250144	0.559395526169191	2.74600739609189	326	TUBB6;CCNB1;PTTG1;PSMA3;PSMC4;CCNB2;CENPN;TUBA1C;KIF2C;PSMD11;PSMD6;ZWINT;PSMD2;PSMA5;NCAPH;ANAPC7;CDK1;PSMA4;CDC20;NDC80;AURKB;PSMA7;BIRC5;PSMD1;RAB1A;ZWILCH;CDCA5;KIF23;KIF20A;PLK1;LMNB1;RCC1;TUBG1;PSMB3;UBE2C;MAPK3;PSMB6;SKA1;GORASP2;NUP210;RAN;PSMB1;ERCC6L;PSMD13;SEC13;CNEP1R1;PSMD3;MAD2L1;PSMC3;UBE2S;PSMB5;CDCA8;NCAPG2;NDEL1;ADRM1;VRK2;SPC24;CENPE;BUB1;PSMC1;RANGAP1;HAUS1;NCAPG;PSMB2;NEK2;MASTL;PSMD7;TUBG2;NUF2;CENPO;PSMC6;PSMD14;KIF18A;SPC25;TUBB2A;RAE1;SSNA1;CENPL;BUB1B;KIF2A;PPP2CA;PSMC5;VRK1;ANAPC5;NUP50;DYNLL1;UBE2E1;SMC2;PSMB4;PSMD8;SKA2;NUP88;PSMD12;KPNB1;TMPO;PLK4;NUP107;CENPI;PSMB7;RB1;CENPF;CENPK;ACTR1A;EMD;ENSA;PSMA1;YWHAG;INCENP;YWHAE;PSMC2;ANAPC11;NUP85;UBE2D1;TUBGCP2;CSNK1E;RCC2;LPIN2;PSMA6;IST1;HAUS5;BUB3;DCTN2;TAOK1;CEP78;CETN2;MAPRE1;BLZF1;CSNK2B;FBXO5;LBR;SMC4;PPP2R5B;CHMP6;CENPH;CENPA;NUP37;AAAS;NDC1;DSN1;NUP205;GORASP1;HAUS8;NCAPH2;PPP2R1B;TUBA4A;TUBA1B;CKAP5;CEP152;CDC26;ODF2;SEH1L;TUBGCP5;PPP1CC;TNPO1;PPP2R1A;UBA52;ARPP19;CHMP2B;CHMP2A;HAUS2;MIS12;CENPQ;CEP164;KNTC1;PMF1;ESPL1;BANF1;CDC23;SPDL1;ANKLE2;CEP131;NUP188;SET;DCTN3;B9D2;NCAPD2;POM121;ANAPC1;LPIN3;UBB;NUP93;HDAC8	R-HSA-68886	M Phase
R-HSA-68882 :: Mitotic Anaphase	1.10741202382568e-29	2.35694192404232e-27	1.41727590263607	0.623563329555032	2.92193994054458	209	TUBB6;CCNB1;PTTG1;PSMA3;PSMC4;CCNB2;CENPN;TUBA1C;KIF2C;PSMD11;PSMD6;ZWINT;PSMD2;PSMA5;ANAPC7;CDK1;PSMA4;CDC20;NDC80;AURKB;PSMA7;BIRC5;PSMD1;ZWILCH;CDCA5;PLK1;LMNB1;RCC1;PSMB3;UBE2C;PSMB6;SKA1;RAN;PSMB1;ERCC6L;PSMD13;SEC13;PSMD3;MAD2L1;PSMC3;UBE2S;PSMB5;CDCA8;NDEL1;ADRM1;VRK2;SPC24;CENPE;BUB1;PSMC1;RANGAP1;PSMB2;PSMD7;NUF2;CENPO;PSMC6;PSMD14;KIF18A;SPC25;TUBB2A;CENPL;BUB1B;KIF2A;PPP2CA;PSMC5;VRK1;ANAPC5;DYNLL1;UBE2E1;PSMB4;PSMD8;SKA2;PSMD12;KPNB1;TMPO;NUP107;CENPI;PSMB7;CENPF;CENPK;EMD;PSMA1;INCENP;PSMC2;ANAPC11;NUP85;UBE2D1;RCC2;PSMA6;IST1;BUB3;TAOK1;MAPRE1;LBR;PPP2R5B;CHMP6;CENPH;CENPA;NUP37;NDC1;DSN1;NUP205;PPP2R1B;TUBA4A;TUBA1B;CKAP5;CDC26;SEH1L;PPP1CC;TNPO1;PPP2R1A;UBA52;CHMP2B;CHMP2A;MIS12;CENPQ;KNTC1;PMF1;ESPL1;BANF1;CDC23;SPDL1;ANKLE2;NUP188	R-HSA-68882	Mitotic Anaphase
R-HSA-2555396 :: Mitotic Metaphase and Anaphase	1.45826515467429e-29	2.66029228931296e-27	1.40995143033448	0.624377472379448	2.92352972383661	210	TUBB6;CCNB1;PTTG1;PSMA3;PSMC4;CCNB2;CENPN;TUBA1C;KIF2C;PSMD11;PSMD6;ZWINT;PSMD2;PSMA5;ANAPC7;CDK1;PSMA4;CDC20;NDC80;AURKB;PSMA7;BIRC5;PSMD1;ZWILCH;CDCA5;PLK1;LMNB1;RCC1;PSMB3;UBE2C;PSMB6;SKA1;RAN;PSMB1;ERCC6L;PSMD13;SEC13;PSMD3;MAD2L1;PSMC3;UBE2S;PSMB5;CDCA8;NDEL1;ADRM1;VRK2;SPC24;CENPE;BUB1;PSMC1;RANGAP1;PSMB2;PSMD7;NUF2;CENPO;PSMC6;PSMD14;KIF18A;SPC25;TUBB2A;CENPL;BUB1B;KIF2A;PPP2CA;PSMC5;VRK1;ANAPC5;DYNLL1;UBE2E1;PSMB4;PSMD8;SKA2;PSMD12;KPNB1;TMPO;NUP107;CENPI;PSMB7;CENPF;CENPK;EMD;PSMA1;INCENP;PSMC2;ANAPC11;NUP85;UBE2D1;RCC2;PSMA6;IST1;BUB3;TAOK1;MAPRE1;FBXO5;LBR;PPP2R5B;CHMP6;CENPH;CENPA;NUP37;NDC1;DSN1;NUP205;PPP2R1B;TUBA4A;TUBA1B;CKAP5;CDC26;SEH1L;PPP1CC;TNPO1;PPP2R1A;UBA52;CHMP2B;CHMP2A;MIS12;CENPQ;KNTC1;PMF1;ESPL1;BANF1;CDC23;SPDL1;ANKLE2;NUP188	R-HSA-2555396	Mitotic Metaphase and Anaphase
R-HSA-449147 :: Signaling by Interleukins	2.40104450068169e-27	3.83266728421315e-25	1.3575740855908	0.508070205890502	2.53335813364653	401	IL36G;NOD2;NLRX1;IL36A;LYN;IL36RN;LCN2;IL4R;PSME2;NOS2;S100A12;SOD2;IRAK2;IL20;IL19;P4HB;STAT3;CD36;TNIP2;CXCL8;PTPN2;SHC1;PSMA3;STAT1;BLNK;STX3;CNN2;PSMC4;FSCN1;OSMR;SOCS3;CXCL1;MMP9;MAPKAPK3;HMOX1;HIF1A;IRAK1;JAK3;PSMD11;FBXW11;PSMD6;IL17A;PSMD2;PSMA5;CUL1;LCK;MMP1;PSMA4;NFKBIB;PSMA7;BIRC5;IL13RA1;PSMD1;MYD88;CSF2RB;LMNB1;CFL1;PSMB3;MSN;IL7R;GSTO1;MAPK3;PSMB6;IL12RB2;PTAFR;PSMB1;PSMD13;STAT2;PSMD3;YES1;PSMC3;NKIRAS2;IL12RB1;CCL4;PSMB5;IRAK3;SOCS1;IL1B;IL26;CXCL2;NFKB1;CCL20;ADRM1;IFNG;USP18;CCR5;N4BP1;PSMC1;HSPA9;PSMB2;CAPZA1;TALDO1;PSMD7;IL22;MCL1;CCL2;PSMC6;PSMD14;MAPK7;IL12B;SYK;ITGAX;GSDMD;TCP1;IL2RA;PPIA;OSM;CEBPD;CASP8;HSPA8;MAPK14;STX4;PPP2CA;UBE2N;PSMC5;PIM1;MAPKAPK2;HSP90B1;IL1RN;CANX;IL17C;CD80;PSMB4;PSMD8;JUNB;GRB2;PTPN7;TNFRSF1B;RPS6KA1;IL17F;BCL2L1;IL21R;HNRNPA2B1;FPR1;PSMD12;IL32;CXCL10;IL23A;TNFRSF1A;ICAM1;PSMB7;CCL5;PTPN18;PSMA1;YWHAZ;CDKN1A;RBX1;PSMC2;TOLLIP;TBK1;CCL22;SOX2;ARF1;NFKBIA;PSMA6;MAPK8;NLRC5;MAP2K3;FASLG;PITPNA;MAP2K1;CHUK;SNRPA1;CCR2;ITGB2;BATF;CCL19;IL24	R-HSA-449147	Signaling by Interleukins
R-HSA-69306 :: DNA Replication	4.00288314365623e-27	5.67964641605445e-25	1.34992572002205	0.704575319607327	3.07946803763003	123	GINS3;CCNE1;PSMA3;CDC6;PSMC4;CCNA2;CDC45;PSMD11;MCM5;PSMD6;PSMD2;MCM10;ORC1;PSMA5;ANAPC7;CUL1;PSMA4;PSMA7;PSMD1;POLE2;SSBP1;PSMB3;UBE2C;PSMB6;POLE4;GINS4;PCNA;PSMB1;DNA2;PSMD13;PSMD3;PSMC3;UBE2S;PSMB5;MCM7;ADRM1;MCM2;PSMC1;PSMB2;DBF4;PSMD7;MCM6;PSMC6;PSMD14;RNASEH1;RFC4;GINS2;RFC5;POLE3;PSMC5;CCNE2;MCM4;ANAPC5;GINS1;UBE2E1;ORC6;MCM3;PSMB4;PSMD8;POLD2;PSMD12;KPNB1;POLA2;RFC2;FEN1;PSMB7;PSMA1;CDT1;POLD3;RBX1;PSMC2;ANAPC11;UBE2D1;RFC3;PSMA6	R-HSA-69306	DNA Replication
R-HSA-69239 :: Synthesis of DNA	1.52357854280393e-26	1.94560979916062e-24	1.33449749081658	0.720642146252625	3.09477451797355	107	GINS3;CCNE1;PSMA3;CDC6;PSMC4;CCNA2;CDC45;PSMD11;MCM5;PSMD6;PSMD2;ORC1;PSMA5;ANAPC7;CUL1;PSMA4;PSMA7;PSMD1;POLE2;PSMB3;UBE2C;PSMB6;POLE4;GINS4;PCNA;PSMB1;DNA2;PSMD13;PSMD3;PSMC3;UBE2S;PSMB5;MCM7;ADRM1;MCM2;PSMC1;PSMB2;PSMD7;MCM6;PSMC6;PSMD14;RFC4;GINS2;RFC5;POLE3;PSMC5;CCNE2;MCM4;ANAPC5;GINS1;UBE2E1;ORC6;MCM3;PSMB4;PSMD8;POLD2;PSMD12;POLA2;RFC2;FEN1;PSMB7;PSMA1;CDT1;POLD3;RBX1;PSMC2;ANAPC11;UBE2D1;RFC3;PSMA6;PRIM1;SKP2	R-HSA-69239	Synthesis of DNA
