pathway	pval	padj	log2err	ES	NES	size	leadingEdge	pathway_id	pathway_name
R-HSA-69278 :: Cell Cycle, Mitotic	2.7186047033638e-43	3.4689396014922e-40	1.71479697260989	0.53889869772214	2.88494454131904	471	PSMC4;TFDP1;PSMD11;PSMD2;TUBG1;GINS3;CCNE1;PSMB5;KIF2A;TUBA1C;PSMA7;PSMA3;MYBL2;TUBG2;CCNB1;CDC25A;LYN;HDAC1;RAB1A;TUBB6;ANAPC7;CDC25B;FKBPL;PSMB3;PSMA4;E2F3;PSMB6;PSMD1;KIF2C;FOXM1;FBXW11;AURKA;RCC1;PSMB2;ZWINT;SKA1;PSMB1;PSMA5;PTTG1;CCNA2;PKMYT1;CDC6;PLK1;PSMD6;LMNB1;DHFR;RAN;CUL1;KIF20A;CDC45;MAPK3;RRM2;TK1;GORASP2;CENPE;ORC1;NCAPH;PSMD13;RANGAP1;TICRR;CCNB2;PSMC1;PSMC3;MCM10;PSMC6;NUP210;E2F4;TPX2;MCM5;POLE4;POLE2;PSMA1;UBE2E1;CDC20;CDK1;PSMD3;POM121;KIF23;CENPN;PSMD7;MAD2L1;ADRM1;BORA;UBE2S;PSMD14;CENPO;CDCA5;BIRC5;POLD2;UBE2C;DYNLL1;NDEL1;POLE3;TOP2A;MCM2;PCNA;MCM7;CDCA8;SPC24;SEC13;VRK1;AURKB;MCM4;GINS1;UBE2D1;NUP50;BUB1;PSMD8;NUP88;ACTR1A;PSMC5;HJURP;ZWILCH;NDC80;PSMD12;PSMB7;SSNA1;CKAP5;TUBB2A;VRK2;DBF4;HAUS1;DNA2;AKT2;DCTN2;PPP2CA;RFC2;ORC6;NCAPG;TMPO;GINS4;ERCC6L;CNEP1R1;RB1;NUF2;GINS2;KIF18A;FZR1;MYC;CENPK;YWHAE;SKA2;PSMB4;SPC25;CENPI;FEN1;NCAPG2;ENSA;MASTL;NEK2;RFC4;CENPL;CENPF;YWHAG;RFC5;MAPRE1;SKP2;CCND3;KPNB1;SMC2;MCM6;CCNE2;TAOK1;EMD;BUB1B;GTSE1;CDC7;CEP131;SMC4;POLA2;CETN2;TYMS;MCM3;RAE1;CDT1;UBA52;ANAPC11;CENPA;PPP2R1B;CDC25C;GORASP1;PSMC2;ESCO2;PPP2R1A;CEP78;CDKN1A;TUBGCP2;FBXO5;INCENP;ANAPC5;ANKLE2;LCMT1;HMMR;CSNK1E;LPIN2;CEP152;PSMA6;NDC1;CEP164;PLK4;MZT2A;LIN54;CCND2;SEH1L;RPA3;E2F2;SRC;CDKN2B;CENPH;BUB3;RPA1;E2F1;POLD1;TNPO1;PPP2R2A;NUP107;CHMP2B;PPP1CB;RBL1;RCC2;CDK7;CKS1B;TUBGCP5;PDS5A;PPP1CC;RAB8A;NUP85;LBR;PPP2R5B;ESPL1;HAUS8;HAUS5;RFC3;RAD21;NUP188;AAAS;TUBA4A;ARPP19;CDC26;ANAPC1;NUP205;DSN1;RBX1;CDKN2A;HDAC8;LPIN3;FBXL18;CDC23;NCAPD2;BLZF1;KNTC1;MCM8;NUP155;E2F6;POLD3;MIS12;IST1;CEP70;TUBA1B	R-HSA-69278	Cell Cycle, Mitotic
R-HSA-69620 :: Cell Cycle Checkpoints	1.69313466637088e-36	1.08021991714462e-33	1.56979165706381	0.609396637863085	3.04803701739687	245	PSMC4;PSMD11;PSMD2;CCNE1;CSNK1A1;PSMB5;KIF2A;PSMA7;PSMA3;CCNB1;CDC25A;RNF168;ANAPC7;PSMB3;PSMA4;PSMB6;PSMD1;YWHAQ;SFN;KIF2C;FBXW11;PSMB2;ZWINT;SKA1;PSMB1;PSMA5;CCNA2;PKMYT1;CDC6;PLK1;PSMD6;CUL1;CDC45;CENPE;ORC1;PSMD13;RANGAP1;CLSPN;CCNB2;PSMC1;PSMC3;MCM10;PSMC6;EXO1;CHEK1;MCM5;BLM;PSMA1;UBE2E1;CDC20;CDK1;PSMD3;CENPN;PSMD7;MAD2L1;ADRM1;UBE2S;PSMD14;CENPO;BIRC5;UBE2C;DYNLL1;NDEL1;MCM2;MCM7;CDCA8;UBE2N;SPC24;SEC13;AURKB;MCM4;UBE2D1;BUB1;MAPK14;PSMD8;PSMC5;ZWILCH;NDC80;PSMD12;PSMB7;CKAP5;DBF4;DNA2;PPP2CA;RFC2;ORC6;YWHAZ;ERCC6L;NUF2;KIF18A;CENPK;YWHAE;SKA2;PSMB4;SPC25;CENPI;YWHAB;RFC4;CENPL;CENPF;YWHAG;RFC5;MAPRE1;MCM6;CCNE2;TAOK1;CHEK2;BUB1B;GTSE1;CDC7;HUS1;MCM3;UBA52;BRIP1;ANAPC11;CENPA;PPP2R1B;CDC25C;PSMC2;PPP2R1A;MAPK11;CDKN1A;BRCA1;INCENP;ANAPC5;CSNK1E;PSMA6;SEH1L;RPA3;CENPH;BUB3;RPA1;NUP107;RCC2;PPP1CC;NUP85;PPP2R5B;ATR;YWHAH;RFC3;CDC26;ANAPC1;PLK3;DSN1;RBX1;CDKN2A;CDC23;KNTC1;MCM8;MIS12	R-HSA-69620	Cell Cycle Checkpoints
R-HSA-68886 :: M Phase	7.43261287508158e-30	3.1613380095347e-27	1.41727590263607	0.531827868638544	2.75137640791907	326	PSMC4;PSMD11;PSMD2;TUBG1;PSMB5;KIF2A;TUBA1C;PSMA7;PSMA3;TUBG2;CCNB1;RAB1A;TUBB6;ANAPC7;PSMB3;PSMA4;PSMB6;PSMD1;KIF2C;RCC1;PSMB2;ZWINT;SKA1;PSMB1;PSMA5;PTTG1;PLK1;PSMD6;LMNB1;RAN;KIF20A;MAPK3;GORASP2;CENPE;NCAPH;PSMD13;RANGAP1;CCNB2;PSMC1;PSMC3;PSMC6;NUP210;PSMA1;UBE2E1;CDC20;CDK1;PSMD3;POM121;KIF23;CENPN;PSMD7;MAD2L1;ADRM1;UBE2S;PSMD14;CENPO;CDCA5;BIRC5;UBE2C;DYNLL1;NDEL1;CDCA8;SPC24;SEC13;VRK1;AURKB;UBE2D1;NUP50;BUB1;PSMD8;NUP88;ACTR1A;PSMC5;ZWILCH;NDC80;PSMD12;PSMB7;SSNA1;CKAP5;TUBB2A;VRK2;HAUS1;DCTN2;PPP2CA;NCAPG;TMPO;ERCC6L;CNEP1R1;RB1;NUF2;KIF18A;CENPK;YWHAE;SKA2;PSMB4;SPC25;CENPI;NCAPG2;ENSA;MASTL;NEK2;CENPL;CENPF;YWHAG;MAPRE1;KPNB1;SMC2;TAOK1;EMD;BUB1B;CEP131;SMC4;CETN2;RAE1;UBA52;ANAPC11;CENPA;PPP2R1B;GORASP1;PSMC2;PPP2R1A;CEP78;TUBGCP2;FBXO5;INCENP;ANAPC5;ANKLE2;CSNK1E;LPIN2;CEP152;PSMA6;NDC1;CEP164;PLK4;MZT2A;SEH1L;CENPH;BUB3;TNPO1;PPP2R2A;NUP107;CHMP2B;RCC2;TUBGCP5;PDS5A;PPP1CC;NUP85;LBR;PPP2R5B;ESPL1;HAUS8;HAUS5;RAD21;NUP188;AAAS;TUBA4A;ARPP19;CDC26;ANAPC1;NUP205;DSN1;HDAC8;LPIN3;CDC23;NCAPD2;BLZF1;KNTC1;NUP155;MIS12;IST1;CEP70;TUBA1B	R-HSA-68886	M Phase
R-HSA-72766 :: Translation	1.986882767525e-29	6.33815602840474e-27	1.40995143033448	0.522751718881864	2.71638723977957	347	PSMC4;PSMD11;VCP;PSMD2;PSMB5;MRPS7;MRPS12;PSMA7;PSMA3;ZNF598;MRPS11;DDOST;SRPRB;MTIF2;NPLOC4;AURKAIP1;EIF2S2;PSMB3;PSMA4;MRPS15;MRPL51;APEH;PSMB6;PSMD1;TUFM;EIF5;EIF4EBP1;EIF3K;MRPL37;EIF4E;MRPS16;PSMB2;SEC61G;EIF3I;PSMB1;PSMA5;RPL26L1;PSMD6;SEC61B;SEC11C;MRPL10;GADD45GIP1;PSMD13;PSMC1;PSMC3;PSMC6;RPN2;PPA1;PSMA1;MRPL27;SEC61A1;EIF3B;EIF2B5;PSMD3;OXA1L;MRPL28;PSMD7;UBE2D2;EIF3J;ADRM1;MRPL32;PSMD14;ASCC3;UBE2D3;NDUFAB1;MRPL47;RPN1;MRPL35;MRPS22;MRPL15;MRPL20;MRPL11;MRPL36;MRPL4;UBE2D1;MRPS10;PSMD8;EIF4H;PSMC5;MIEF1;SSR4;MRPL3;PSMD12;PSMB7;SPCS3;MRPL13;SRP54;MTFMT;MRRF;PSMB4;TRMT112;MRPL21;MRPS5;ETF1;MRPL52;MRPS2;MRPS6;MRPL16;MRPL17;DAP3;EIF2S1;MRPL55;TSFM;MRPS34;RPL17;RPL28;MRPL41;UBA52;EIF3D;PSMC2;SPCS1;MRPS21;EIF2B1;MRPL14;MRPL54;SRP72;EEF1B2;EIF4A1;MRPL18;AARS2;ASCC2;RPL36AL;FARSA;CHCHD1;PABPC1;EIF2B2;PSMA6;MRPL49;RPL22L1;SSR3;MRPS35;MRPS25;RPL39L;MT-CO2;MRPL23;FARSB;SRP68;MRPL12;HARS2;EIF4G1;SPCS2;AIMP2;ABCE1;SSR1;MRPS26;LARS2;EIF3A;MRPL57;MRPL2;RBX1;MRPL39;DARS2;RPS26;MRPS23;MRPL46;EIF3C;YARS2;MT-TP;EEF1A2;MRPL22;EIF2B3;MRPS18B;EIF5B;EEF1E1;TRIP4;MRPS18A;SSR2;EARS2;MRPS9;MALSU1;MRPS33;ERAL1;GSPT1;EIF3M;PPA2;MRPL19;FARS2;FAU;MRPL1;MARS2;SRP9;RPS10;MT-TV;GFM1;EIF2S3;MT-ND6;MT-ATP8;HBS1L;MRPL48;EEF1D;EIF2B4;MRPS31;RPL27A;MRPL45;RPS28	R-HSA-72766	Translation
R-HSA-68882 :: Mitotic Anaphase	2.77925994827546e-28	7.09267138799898e-26	1.38026491759359	0.601426131731831	2.95452868124378	209	PSMC4;PSMD11;PSMD2;PSMB5;KIF2A;TUBA1C;PSMA7;PSMA3;CCNB1;TUBB6;ANAPC7;PSMB3;PSMA4;PSMB6;PSMD1;KIF2C;RCC1;PSMB2;ZWINT;SKA1;PSMB1;PSMA5;PTTG1;PLK1;PSMD6;LMNB1;RAN;CENPE;PSMD13;RANGAP1;CCNB2;PSMC1;PSMC3;PSMC6;PSMA1;UBE2E1;CDC20;CDK1;PSMD3;POM121;CENPN;PSMD7;MAD2L1;ADRM1;UBE2S;PSMD14;CENPO;CDCA5;BIRC5;UBE2C;DYNLL1;NDEL1;CDCA8;SPC24;SEC13;VRK1;AURKB;UBE2D1;BUB1;PSMD8;PSMC5;ZWILCH;NDC80;PSMD12;PSMB7;CKAP5;TUBB2A;VRK2;PPP2CA;TMPO;ERCC6L;NUF2;KIF18A;CENPK;SKA2;PSMB4;SPC25;CENPI;CENPL;CENPF;MAPRE1;KPNB1;TAOK1;EMD;BUB1B;UBA52;ANAPC11;CENPA;PPP2R1B;PSMC2;PPP2R1A;INCENP;ANAPC5;ANKLE2;PSMA6;NDC1;SEH1L;CENPH;BUB3;TNPO1;PPP2R2A;NUP107;CHMP2B;RCC2;PDS5A;PPP1CC;NUP85;LBR;PPP2R5B;ESPL1;RAD21;NUP188;TUBA4A;CDC26;ANAPC1;NUP205;DSN1;HDAC8;CDC23;KNTC1;NUP155;MIS12;IST1;TUBA1B;NUP37	R-HSA-68882	Mitotic Anaphase
R-HSA-2555396 :: Mitotic Metaphase and Anaphase	3.42408808669369e-28	7.28189399770191e-26	1.38026491759359	0.602433540260309	2.95678787910754	210	PSMC4;PSMD11;PSMD2;PSMB5;KIF2A;TUBA1C;PSMA7;PSMA3;CCNB1;TUBB6;ANAPC7;PSMB3;PSMA4;PSMB6;PSMD1;KIF2C;RCC1;PSMB2;ZWINT;SKA1;PSMB1;PSMA5;PTTG1;PLK1;PSMD6;LMNB1;RAN;CENPE;PSMD13;RANGAP1;CCNB2;PSMC1;PSMC3;PSMC6;PSMA1;UBE2E1;CDC20;CDK1;PSMD3;POM121;CENPN;PSMD7;MAD2L1;ADRM1;UBE2S;PSMD14;CENPO;CDCA5;BIRC5;UBE2C;DYNLL1;NDEL1;CDCA8;SPC24;SEC13;VRK1;AURKB;UBE2D1;BUB1;PSMD8;PSMC5;ZWILCH;NDC80;PSMD12;PSMB7;CKAP5;TUBB2A;VRK2;PPP2CA;TMPO;ERCC6L;NUF2;KIF18A;CENPK;SKA2;PSMB4;SPC25;CENPI;CENPL;CENPF;MAPRE1;KPNB1;TAOK1;EMD;BUB1B;UBA52;ANAPC11;CENPA;PPP2R1B;PSMC2;PPP2R1A;FBXO5;INCENP;ANAPC5;ANKLE2;PSMA6;NDC1;SEH1L;CENPH;BUB3;TNPO1;PPP2R2A;NUP107;CHMP2B;RCC2;PDS5A;PPP1CC;NUP85;LBR;PPP2R5B;ESPL1;RAD21;NUP188;TUBA4A;CDC26;ANAPC1;NUP205;DSN1;HDAC8;CDC23;KNTC1;NUP155;MIS12;IST1;TUBA1B;NUP37	R-HSA-2555396	Mitotic Metaphase and Anaphase
R-HSA-69306 :: DNA Replication	5.57751909761139e-26	1.01670205265031e-23	1.31888879607587	0.683271348430161	3.1551006568876	122	PSMC4;PSMD11;PSMD2;GINS3;CCNE1;PSMB5;PSMA7;PSMA3;ANAPC7;PSMB3;PSMA4;PSMB6;PSMD1;PSMB2;PSMB1;PSMA5;CCNA2;CDC6;PSMD6;CUL1;CDC45;ORC1;PSMD13;PSMC1;PSMC3;MCM10;PSMC6;MCM5;POLE4;POLE2;PSMA1;UBE2E1;PSMD3;PSMD7;ADRM1;UBE2S;PSMD14;POLD2;UBE2C;POLE3;MCM2;PCNA;MCM7;MCM4;GINS1;UBE2D1;PSMD8;PSMC5;PSMD12;SSBP1;PSMB7;DBF4;DNA2;RFC2;ORC6;GINS4;GINS2;FZR1;PSMB4;FEN1;RFC4;RFC5;SKP2;KPNB1;MCM6;CCNE2;CDC7;POLA2;MCM3;CDT1;UBA52;ANAPC11;RNASEH1;PSMC2;EXOG;ANAPC5;PSMA6;RPA3;RPA1;POLD1	R-HSA-69306	DNA Replication
R-HSA-2467813 :: Separation of Sister Chromatids	4.59384521685003e-25	7.32718312087579e-23	1.29512308741004	0.616924728004509	2.96471336219048	165	PSMC4;PSMD11;PSMD2;PSMB5;KIF2A;TUBA1C;PSMA7;PSMA3;TUBB6;ANAPC7;PSMB3;PSMA4;PSMB6;PSMD1;KIF2C;PSMB2;ZWINT;SKA1;PSMB1;PSMA5;PTTG1;PLK1;PSMD6;CENPE;PSMD13;RANGAP1;PSMC1;PSMC3;PSMC6;PSMA1;UBE2E1;CDC20;PSMD3;CENPN;PSMD7;MAD2L1;ADRM1;UBE2S;PSMD14;CENPO;CDCA5;BIRC5;UBE2C;DYNLL1;NDEL1;CDCA8;SPC24;SEC13;AURKB;UBE2D1;BUB1;PSMD8;PSMC5;ZWILCH;NDC80;PSMD12;PSMB7;CKAP5;TUBB2A;PPP2CA;ERCC6L;NUF2;KIF18A;CENPK;SKA2;PSMB4;SPC25;CENPI;CENPL;CENPF;MAPRE1;TAOK1;BUB1B;UBA52;ANAPC11;CENPA;PPP2R1B;PSMC2;PPP2R1A;INCENP;ANAPC5;PSMA6;SEH1L;CENPH;BUB3;NUP107;RCC2;PDS5A;PPP1CC;NUP85;PPP2R5B;ESPL1;RAD21;TUBA4A;CDC26;ANAPC1;DSN1;HDAC8;CDC23;KNTC1;MIS12;TUBA1B;NUP37	R-HSA-2467813	Separation of Sister Chromatids
R-HSA-69239 :: Synthesis of DNA	5.56980718193568e-25	7.89674884905548e-23	1.29512308741004	0.699393293907351	3.19140708600011	107	PSMC4;PSMD11;PSMD2;GINS3;CCNE1;PSMB5;PSMA7;PSMA3;ANAPC7;PSMB3;PSMA4;PSMB6;PSMD1;PSMB2;PSMB1;PSMA5;CCNA2;CDC6;PSMD6;CUL1;CDC45;ORC1;PSMD13;PSMC1;PSMC3;PSMC6;MCM5;POLE4;POLE2;PSMA1;UBE2E1;PSMD3;PSMD7;ADRM1;UBE2S;PSMD14;POLD2;UBE2C;POLE3;MCM2;PCNA;MCM7;MCM4;GINS1;UBE2D1;PSMD8;PSMC5;PSMD12;PSMB7;DNA2;RFC2;ORC6;GINS4;GINS2;FZR1;PSMB4;FEN1;RFC4;RFC5;SKP2;MCM6;CCNE2;POLA2;MCM3;CDT1;UBA52;ANAPC11;PSMC2;ANAPC5;PSMA6;RPA3;RPA1;POLD1;RFC3;CDC26;ANAPC1;RBX1;CDC23;MCM8;POLD3	R-HSA-69239	Synthesis of DNA
R-HSA-6798695 :: Neutrophil degranulation	1.94047802972752e-24	2.47604996593232e-22	1.27903397725049	0.46642266150352	2.4787205830413	428	S100A9;S100A8;FABP5;CD36;PGM2;S100A7;ALDOA;PRSS3;RAB31;COTL1;PNP;DNAJC5;GPI;LPCAT1;CTSD;PSMD11;HMOX2;CSTB;VCP;PSMD2;CAPN1;TCN1;PKM;PGAM1;CKAP4;PYGL;GM2A;QSOX1;UNC13D;CTSC;CD47;GGH;GRN;DDOST;HPSE;DBNL;TOLLIP;APEH;PSMD1;SERPINB3;PYCARD;PTAFR;S100A12;PTGES2;GSTP1;LRG1;S100P;PPIA;CNN2;PSMB1;PSMA5;CXCR2;LCN2;CXCL1;ARG1;MMP9;PSMD6;RAB10;SURF4;ITGAL;CTSB;CRISP3;CTSA;SERPINB1;S100A11;NFKB1;VNN1;NAPRT;GYG1;RAC1;PSMD13;PDAP1;PSMC3;RAB24;LYZ;LTF;GSDMD;RAB27A;PSMD3;RHOG;PSMD7;CD177;RAB7A;APRT;PSMD14;DGAT1;ATP6V1D;ILF2;DYNLL1;ACTR2;PDXK;SERPINA1;RAP2B;AMPD3;PA2G4;DYNLT1;CAB39;HSPA8;MAPK14;ITGAX;CAP1;FRK;TCIRG1;PSMD12;CCT8;PSMB7;TOM1;ATP11B;SLC15A4;IMPDH1;CCT2;SERPINA3;PLAUR;ADAM8;HRNR;TNFRSF1B;TRAPPC1;MMP25;PTPRC;GLA;DOK3;KPNB1;PLAU;CST3;XRCC6;TLR2;SLPI;PRDX4;KCMF1;COMMD9;SERPINB6;OLR1;ITGB2;HLA-B;PSMC2;DDX3X;STK11IP;TXNDC5;CYBA;ATAD3B;BIN2;RAP2C;CD53;HSPA6;CAMP;CALML5;AP1M1;CYFIP1;SIRPA;ERP44;DERA;RAB6A;DOCK2;CLEC5A;LAMTOR2;XRCC5;MVP;RHOA;HLA-C;STOM;SLC2A3;CMTM6;JUP;PLEKHO2;COPB1;VAPA;FPR1;FGR;LAMP1;GUSB;CEACAM1;DNASE1L1;ATP6V0A1;ACAA1;B2M;NIT2;CPPED1;LILRB2;CLEC4C;DSN1;SLC44A2;NCKAP1L;VAMP8;GDI2;LAIR1;PGM1;ARHGAP9;IST1;TMEM30A;GPR84;CD93;CANT1;LAMTOR1;RAB3D;SELL;ADAM10;AGA;BST2;PLAC8;C6orf120;LAMP2;DNAJC3	R-HSA-6798695	Neutrophil degranulation
