gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KRT77	4443.60359858362	-4.63666333073427	0.184166913134854	-25.8723360599114	1.36433624234969e-147	2.87711226786703e-143
ZNF528	214.215450673403	-1.55258442446591	0.0691457220662354	-22.4362709933616	1.74258607581289e-111	1.83738275833712e-107
EDIL3	489.578303132172	-2.33683898732817	0.106238483906163	-22.0583263409278	7.94691113915557e-108	5.58614873675042e-104
BCAR3	276.705089921242	-2.55940870622355	0.118270318607404	-21.7380722797027	8.95829448694546e-105	4.72281285351765e-101
FRMD4A	597.360612514387	-1.07748113128146	0.0496237648754328	-21.7263526208172	1.15630075055084e-104	4.87681404552321e-101
PTPN14	3395.99635920576	-0.982035408804552	0.046313109470259	-21.2016015332684	9.23014742032484e-100	3.2440891466635e-96
CYP39A1	583.320757787424	-1.72997667191817	0.0819646008531687	-21.1627538122457	2.10558882066934e-99	6.34323672146786e-96
NFIB	3096.67116615851	-0.932719292177817	0.0452686892320674	-20.615291063627	2.00115031522883e-94	5.27503223094319e-91
C14orf132	1193.1283829905	-2.60707020260118	0.128637940657524	-20.3824154458667	2.39538077006194e-92	5.61264329767402e-89
PRKCB	343.749458144319	-1.69309067859362	0.0850920956864726	-19.8918918212848	4.78359826094493e-88	1.00876520126807e-84
ZSCAN18	136.360842732908	-2.78517024830676	0.141299682963383	-19.8254888984938	1.79429117471277e-87	3.4398192993039e-84
PLXNA2	1175.77630111021	-1.12543713814588	0.0568623167748044	-19.7782515065193	4.58308451963294e-87	8.05400719583495e-84
ZNF677	166.007794823686	-1.72606293807595	0.0884053106573512	-19.5676343888986	2.91920700214564e-85	4.73540286624979e-82
BTC	839.487680389672	-4.49628347914704	0.248433945534859	-19.4977935955092	1.14621388364541e-84	1.72652559845102e-81
TPBG	1057.6604019289	1.948101477527	0.100908646850185	19.3736873239174	1.28701881195267e-83	1.80937684709719e-80
MFHAS1	1476.4034018139	1.3698181703942	0.0710455360928425	19.3177275637576	3.810601533868e-83	5.02237282163803e-80
PAK3	91.124612539811	-3.04252507305374	0.158794896437411	-19.2378622618562	1.78416362274465e-82	2.21320249861407e-79
ANKRD33B	669.832623091539	-2.9634557289443	0.161098583073093	-19.2315732006868	2.01424267907339e-82	2.35979720090553e-79
TPI1	6000.48554562589	1.09563646575629	0.057174056105541	19.1754210277023	5.93857846618953e-82	6.59119698394762e-79
RGMB	1348.92050578122	-1.46291503246943	0.0765394445337198	-19.1507727649148	9.53611492337319e-82	1.00548795752047e-78
NOD2	960.54416574731	1.44870139128373	0.076368444304233	18.9735670018446	2.82099066970561e-80	2.83281196394057e-77
TIMM13	563.328348256146	0.922203378678727	0.0486907300406481	18.9307190573233	6.36870996034625e-80	6.10469798380826e-77
